"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","API test sample 05[title3-300-201]","test.api","Thu Jan 09 08:47:34 GMT 2025","passed","Thu Jan 09 08:47:34 GMT 2025","","test_sample5","",""
"","53","API test sample 03","test.api","Thu Jan 09 08:47:34 GMT 2025","passed","Thu Jan 09 08:47:34 GMT 2025","","test_sample3","",""
"","265","API test sample 01","test.api","Thu Jan 09 08:47:34 GMT 2025","broken","Thu Jan 09 08:47:34 GMT 2025","","test_sample1","",""
"","1","test_add_1_to_2_then_3","test.unit","Thu Jan 09 08:47:34 GMT 2025","passed","Thu Jan 09 08:47:34 GMT 2025","","test_add","",""
"","64","API test sample 04","test.api","Thu Jan 09 08:47:34 GMT 2025","passed","Thu Jan 09 08:47:34 GMT 2025","","test_sample4","",""
"","63","API test sample 02","test.api","Thu Jan 09 08:47:34 GMT 2025","passed","Thu Jan 09 08:47:34 GMT 2025","","test_sample2","",""
"","48","API test sample 11","test.api","Thu Jan 09 08:47:34 GMT 2025","passed","Thu Jan 09 08:47:34 GMT 2025","","test_sample11","",""
"","0","API test sample 02","test.api","Thu Jan 09 08:47:34 GMT 2025","skipped","Thu Jan 09 08:47:34 GMT 2025","","test_sample2_skip","",""
