"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_add_1_to_2_then_3","test.unit","Sat Apr 19 14:59:47 GMT 2025","passed","Sat Apr 19 14:59:47 GMT 2025","","test_add","",""
"","0","API test sample 02","test.api","Sat Apr 19 14:59:47 GMT 2025","skipped","Sat Apr 19 14:59:47 GMT 2025","","test_sample2_skip","",""
"","60","API test sample 02","test.api","Sat Apr 19 14:59:47 GMT 2025","passed","Sat Apr 19 14:59:47 GMT 2025","","test_sample2","",""
"","249","API test sample 01","test.api","Sat Apr 19 14:59:47 GMT 2025","passed","Sat Apr 19 14:59:47 GMT 2025","","test_sample1","",""
"","56","API test sample 05[title3-300-201]","test.api","Sat Apr 19 14:59:47 GMT 2025","passed","Sat Apr 19 14:59:47 GMT 2025","","test_sample5","",""
"","53","API test sample 03","test.api","Sat Apr 19 14:59:47 GMT 2025","passed","Sat Apr 19 14:59:47 GMT 2025","","test_sample3","",""
"","38","API test sample 11","test.api","Sat Apr 19 14:59:47 GMT 2025","passed","Sat Apr 19 14:59:47 GMT 2025","","test_sample11","",""
"","54","API test sample 04","test.api","Sat Apr 19 14:59:47 GMT 2025","passed","Sat Apr 19 14:59:47 GMT 2025","","test_sample4","",""
